time,lafeq,lafmax,lcfeq,hz20,hz25,hz31_5,hz40,hz50,hz63,hz80,hz100,hz125,hz160,hz200,hz250,hz315,hz400,hz500,hz630,hz800,hz1000,hz1250,hz1600,hz2000,hz2500,hz3150,hz4000,hz5000,hz6300,hz8000,hz10000,hz12500,hz16000,hz20000,noise_type
2025-05-24 08:01:55,49.1,51.5,58.1,33.1,37.1,58.0,54.7,33.8,39.3,36.2,41.2,37.1,38.3,38.5,35.6,33.7,31.6,35.9,36.3,39.5,39.9,40.4,40.4,38.3,37.7,38.4,35.1,34.0,35.4,28.2,26.8,28.2,23.9,18.6,car_noise
2025-05-24 08:01:56,46.5,47.4,58.0,37.2,37.2,60.1,47.1,33.9,39.0,33.8,40.8,38.2,34.1,37.5,32.9,30.5,29.9,35.2,32.4,33.6,34.2,36.7,37.7,34.9,36.7,37.2,33.9,30.3,29.5,27.3,25.4,26.5,21.8,18.1,car_noise
2025-05-24 08:01:57,47.9,50.1,57.7,39.6,36.4,59.0,45.3,38.0,39.1,34.1,42.3,38.8,35.2,35.3,32.6,31.6,30.6,36.5,33.9,36.1,36.1,37.9,40.1,36.7,37.3,37.1,34.5,30.9,31.1,29.2,26.9,28.0,23.6,18.9,car_noise
2025-05-24 08:01:58,51.2,54.1,58.1,36.0,34.4,59.3,44.8,34.9,38.1,34.2,42.7,39.2,36.5,37.3,32.5,33.8,32.0,38.3,37.8,40.3,40.7,41.7,45.0,39.8,39.0,38.8,35.2,32.9,31.8,29.6,27.5,28.1,23.6,18.6,car_noise
2025-05-24 08:01:59,53.9,57.4,59.0,35.2,36.8,59.8,46.3,37.5,39.2,34.3,42.3,38.9,37.4,38.2,34.3,34.8,35.5,42.2,42.8,45.3,45.4,46.0,46.0,42.8,42.5,40.3,37.5,35.1,32.5,30.5,29.1,29.9,25.6,19.4,car_noise
2025-05-24 08:02:00,55.8,59.0,61.8,38.0,37.6,63.0,47.5,38.8,43.2,38.1,42.8,39.5,39.1,38.5,36.7,37.4,39.4,42.7,45.9,49.2,47.4,48.4,48.2,44.8,42.7,42.1,38.2,35.2,33.4,30.3,29.2,29.8,24.3,18.6,car_noise
2025-05-24 08:02:01,54.5,57.1,61.9,37.1,38.5,63.4,53.4,39.4,41.4,36.9,38.9,37.8,41.9,39.6,37.0,38.1,39.1,43.2,45.0,48.0,45.7,45.6,46.8,43.6,41.5,40.0,37.0,34.4,32.7,30.2,29.5,30.6,25.3,19.2,car_noise
2025-05-24 08:02:02,53.5,55.0,58.2,37.4,36.8,59.9,56.0,36.9,40.0,40.4,38.8,31.2,42.6,38.9,37.4,36.6,38.3,41.2,42.3,47.1,45.3,44.8,44.2,41.6,40.1,38.9,35.4,32.0,30.5,27.8,26.9,28.4,23.3,18.6,car_noise
2025-05-24 08:02:03,53.2,54.3,57.7,42.2,40.8,57.2,50.9,37.0,42.8,38.1,42.0,38.5,40.0,36.9,39.5,40.1,39.0,40.1,42.6,45.6,45.9,44.4,44.5,42.2,39.1,37.3,35.5,30.7,29.2,26.2,24.4,26.1,21.5,18.0,car_noise
2025-05-24 08:02:04,52.0,54.1,57.1,44.5,40.8,53.3,54.8,35.0,38.8,39.9,38.6,36.9,36.9,36.6,37.7,39.7,36.7,38.5,39.6,43.1,45.6,42.4,43.0,41.8,37.9,36.3,33.7,29.4,27.1,24.1,23.3,25.4,20.8,18.0,car_noise
2025-05-24 08:02:05,51.0,54.0,55.8,39.4,38.4,54.7,50.5,33.2,39.8,38.1,36.4,35.9,37.8,35.2,37.0,37.9,34.4,37.0,38.0,41.2,42.3,41.7,42.3,41.4,38.6,37.0,33.2,31.1,28.5,24.9,23.3,24.9,20.4,17.9,car_noise
2025-05-24 08:02:06,50.3,52.2,55.3,38.9,39.2,55.3,45.0,35.2,38.7,33.0,37.2,34.5,35.6,33.1,36.1,35.4,32.6,36.6,37.6,41.8,42.1,41.8,42.1,40.7,38.4,36.2,32.2,30.6,28.2,25.7,24.4,25.2,20.1,17.8,car_noise
2025-05-24 08:02:07,50.8,55.0,56.1,37.4,42.4,56.5,45.8,33.3,40.0,34.3,37.5,35.8,33.8,33.5,35.3,36.2,33.8,36.3,37.7,40.4,42.6,43.4,42.4,39.5,38.2,35.6,31.7,29.9,27.2,24.9,23.3,24.5,19.5,17.8,car_noise
2025-05-24 08:02:08,51.0,53.1,57.1,40.2,42.4,53.4,56.4,32.2,37.4,36.1,36.0,36.0,37.0,36.0,35.3,36.1,35.2,36.5,38.6,40.1,41.6,43.6,43.6,40.3,37.4,36.9,32.9,31.9,28.2,24.3,23.4,24.6,19.5,17.8,car_noise
2025-05-24 08:02:09,52.6,54.6,57.2,40.1,39.8,56.2,51.6,33.7,37.4,34.9,36.2,36.0,38.9,36.0,37.0,37.9,36.4,38.5,41.3,43.7,44.2,45.5,44.4,42.2,39.1,37.1,33.1,29.2,28.0,25.8,24.0,23.8,19.0,17.6,car_noise
2025-05-24 08:02:10,52.2,54.3,57.3,37.3,42.9,57.0,50.2,38.3,35.8,36.5,34.7,34.5,40.2,36.3,38.1,38.1,37.6,38.1,41.0,43.3,44.8,44.7,44.1,41.3,38.5,36.2,33.3,29.6,27.3,26.0,24.6,23.9,19.3,17.7,car_noise
2025-05-24 08:02:11,50.8,53.4,55.4,39.6,37.4,53.2,51.5,31.1,37.3,35.7,37.5,33.7,37.1,37.8,39.0,37.0,37.1,37.3,40.6,44.5,42.9,42.2,42.2,40.0,39.7,35.7,30.8,25.3,25.2,24.8,23.2,23.3,19.0,17.5,car_noise
2025-05-24 08:02:12,48.8,53.5,55.0,35.1,35.4,54.6,48.5,32.9,36.9,32.6,35.4,30.4,32.3,33.8,33.8,34.5,34.4,36.5,38.5,41.5,42.7,41.6,40.9,36.2,34.6,33.2,28.2,25.8,23.8,20.8,20.0,21.0,18.1,17.5,car_noise
2025-05-24 08:02:13,52.0,54.9,56.0,37.7,35.9,54.3,47.9,30.6,37.0,33.9,34.6,32.7,35.4,35.3,35.8,35.9,37.7,41.0,44.5,46.6,44.2,44.6,43.2,38.6,36.7,33.0,30.6,25.9,25.4,23.3,21.1,21.5,18.5,17.6,car_noise
2025-05-24 08:02:14,50.5,55.0,56.0,37.7,37.9,54.7,43.7,34.4,42.0,36.6,36.9,33.1,36.5,35.3,35.2,33.6,35.1,37.8,40.1,42.8,43.1,41.8,40.5,36.7,34.9,33.4,31.6,27.0,25.3,24.3,22.8,22.5,19.1,17.7,car_noise
2025-05-24 08:02:15,54.5,57.9,58.7,37.3,42.2,57.2,52.0,35.3,42.7,37.8,37.6,34.2,38.0,38.0,37.5,39.4,40.0,40.8,42.7,47.8,47.4,46.4,45.6,42.5,39.3,37.1,34.3,30.9,28.5,27.6,27.7,27.4,22.1,18.1,car_noise
